tweet_id,sentiment,tweet,tokenized,compound,negative,neutral,positive
1957209188,happiness,ah thats better snow patrol! now to be stuck indoors  still weekend coming up and fresh air excellent hope its sunny!,ah that better snow patrol now to be stuck indoor still weekend come up and fresh air excel hope it sunni,0.8442,0.069,0.55,0.381
1957211192,happiness,"up early again  loads to do- but the suns out, hurrah!",up earli again load to do but the sun out hurrah,0.7096,0.0,0.671,0.329
1957213189,happiness,@BevJack Babes it was sooo much fun!!  Thank you so much for making that happen!  Had fun with the ladies too!  Time went to fast.,bevjack babe it wa sooo much fun thank you so much for make that happen had fun with the ladi too time went to fast,0.8442,0.0,0.707,0.293
1957223703,happiness,@ColeDavid had  a little family party tonight   hope it rocked,coledavid had a littl famili parti tonight hope it rock,0.4404,0.0,0.734,0.266
1957257295,happiness,I miss the concert Tuesday already. I'd really like a time machine to go see it again... It was so fun...,i miss the concert tuesday alreadi i d realli like a time machin to go see it again it wa so fun,0.7304,0.069,0.643,0.289
1957259752,happiness,hahaha yeah i see that. but he can't twitter me back,hahaha yeah i see that but he can t twitter me back,0.4404,0.0,0.672,0.328
1957262114,happiness,Watching Jay Leno's 2nd last Tonight show   I haven't gone a day without Leno in like four yearss.,watch jay leno s nd last tonight show i haven t gone a day without leno in like four yearss,-0.2755,0.123,0.877,0.0
1957275627,happiness,@assembled ive been there before  haha,assembl ive been there befor haha,0.4588,0.0,0.625,0.375
1957278650,happiness,"i have the biggest headache right now, i washed my hair wif mum's shampoo and now it's gross  i like my shampoo way better",i have the biggest headach right now i wash my hair wif mum s shampoo and now it s gross i like my shampoo way better,0.3182,0.117,0.679,0.204
1957284360,happiness,"Heading home now, yay! Was going to buy a much needed bottle of wine to drink with dinner, but my wallet is MIA so no wine for me tonight",head home now yay wa go to buy a much need bottl of wine to drink with dinner but my wallet is mia so no wine for me tonight,-0.6597,0.195,0.74,0.065
1957302602,happiness,@captainboots  YOU'RE FAKING IT! Hahaha...I kid.,captainboot you re fake it hahaha i kid,0.128,0.265,0.427,0.308
1957312495,happiness,@pourmecoffee I won my 5th grade spelling bee. Went down trailing flames on 1st word at county spelling bee  http://post.ly/geb,pourmecoffe i won my th grade spell bee went down trail flame on st word at counti spell bee http post ly geb,0.8074,0.0,0.733,0.267
1957313260,happiness,Can you believe it:Tomorrow Night will be Jay Leno's last episode of the Tonight Show  I encourage everyone to watch it and welcome Conan.,can you believ it tomorrow night will be jay leno s last episod of the tonight show i encourag everyon to watch it and welcom conan,0.0,0.0,1.0,0.0
1957320104,happiness,Bought a new combo printer at costco today (officejet j4550) cause it was cheaper than ink 4 old one. #windows7 doesn't like the fax part,bought a new combo printer at costco today officejet j caus it wa cheaper than ink old one window doesn t like the fax part,0.3612,0.0,0.894,0.106
1957320171,happiness,why do i have to wake up so early goddam?! 7.30 on my last day off  bummer,whi do i have to wake up so earli goddam on my last day off bummer,-0.749,0.329,0.671,0.0
1957329151,happiness,@tifftiff88 what don't be sad?  Be glad. Your 21,tifftiff what don t be sad be glad your,-0.0258,0.256,0.496,0.248
1957340145,happiness,Goodmorning yall! I woke up to early,goodmorn yall i woke up to earli,0.0,0.0,1.0,0.0
1957351140,happiness,@SharktailYPP The red font up the top is very nice. But where did they put all the old entries?,sharktailypp the red font up the top is veri nice but where did they put all the old entri,0.3182,0.0,0.837,0.163
1957357361,happiness,@ahhrjay useless tweet! LOL jk yay!!! You're coming tmr! How long u gnna be in phils for  ?,ahhrjay useless tweet lol jk yay you re come tmr how long u gnna be in phil for,0.6486,0.117,0.544,0.339
1957359624,happiness,I am soo happy! But frustrated at the same time!  :]  :S. Ohh noo!!! Britney is recording her new video for Radar!!!  Sooo ExxCiiTeed!!!,i am soo happi but frustrat at the same time s ohh noo britney is record her new video for radar sooo exxciite,0.0,0.0,1.0,0.0
1957359653,happiness,"BOOYA!! Sup Tweeps!? Happy inFAMOUS day to you all, off to get it very soon. Can't wait to play, need to find some more time though",booya sup tweep happi infam day to you all off to get it veri soon can t wait to play need to find some more time though,0.34,0.0,0.912,0.088
1957360852,happiness,"@TerrenceJ106 I'm up wit cha!! Just got home from da reggae club, wishin I was sexin somebody!!!",terrencej i m up wit cha just got home from da regga club wishin i wa sexin somebodi,0.0,0.0,1.0,0.0
1957375661,happiness,Is dreading going to work  BUT....its friiiiiday!! whoop!!!,is dread go to work but it friiiiiday whoop,-0.25,0.2,0.8,0.0
1957385704,happiness,I wanna go to DBSK oppa's Mirotic Concert in Thailand!!! I REALLY WANNA GO SO MUCHHHHH...    *burst into tears*,i wanna go to dbsk oppa s mirot concert in thailand i realli wanna go so muchhhhh burst into tear,0.0,0.0,1.0,0.0
1957387163,happiness,"@rettema &quot;might be interested&quot; - thanks, I was: I came, I saw, I winced..  too much like Flatland http://bit.ly/12f0y",rettema quot might be interest quot thank i wa i came i saw i winc too much like flatland http bit ly f y,0.891,0.0,0.547,0.453
1957412151,happiness,"@sueveeyall Haha, I wish I could",sueveeyal haha i wish i could,0.6908,0.0,0.26,0.74
1957412562,happiness,"Warwick Castle http://snurl.com/izzau Amazing!  Off to Devon for a week...no internet, no updates",warwick castl http snurl com izzau amaz off to devon for a week no internet no updat,-0.5267,0.239,0.761,0.0
1957421654,happiness,good morning people !! in good old germany is it soooo cold,good morn peopl in good old germani is it soooo cold,0.7003,0.0,0.608,0.392
1957422689,happiness,@sunnyphoenix there was like no1 there n tha DJ comp was hella wack... no gud DJs  but got in free so its all gud,sunnyphoenix there wa like no there n tha dj comp wa hella wack no gud dj but got in free so it all gud,0.6124,0.113,0.669,0.218
1957436693,happiness,wishes she would call him ...   *hc*,wish she would call him hc,0.4019,0.0,0.649,0.351
1957447369,happiness,"My life what a beautiful morning, i can think if no better way to ruin it than by being at work",my life what a beauti morn i can think if no better way to ruin it than by be at work,-0.4767,0.241,0.643,0.116
1957453857,happiness,wish my nicky were home too,wish my nicki were home too,0.4019,0.0,0.649,0.351
1957455328,happiness,hmm..Osaka. Last show today.Very sad  . i can decode ur msg ;) haha cant wait till u get 2 Sydney ;D i missed out on tickets tho :o xx,hmm osaka last show today veri sad i can decod ur msg haha cant wait till u get sydney d i miss out on ticket tho o xx,-0.1779,0.17,0.722,0.108
1957463319,happiness,huhuhu still working to get new clients in motion graphics,huhuhu still work to get new client in motion graphic,0.0,0.0,1.0,0.0
1957467913,happiness,"Why does #googledocs do folders, instead of labels like #gmail? I kind of like labels",whi doe googledoc do folder instead of label like gmail i kind of like label,0.6124,0.0,0.706,0.294
1957469948,happiness,@Lara82 Yeah  He was such a good..erm...entertainment ),lara yeah he wa such a good erm entertain,0.7506,0.0,0.403,0.597
1957475541,happiness,@mileycyrus I would totally take you to prom...if i hadnt already gone  sorry lol,mileycyru i would total take you to prom if i hadnt alreadi gone sorri lol,0.4215,0.0,0.811,0.189
1957476456,happiness,@RASHIDIAN Come hang out wif meeee,rashidian come hang out wif meeee,0.0,0.0,1.0,0.0
1957476811,happiness,Hmmm thinking about taking back that I feel better this morning - I think I spoke to early,hmmm think about take back that i feel better thi morn i think i spoke to earli,0.4404,0.0,0.818,0.182
1957482992,happiness,@pyroezra i know!  i wish she would. I just wanna cuddle and sleeep in ga! And go to the world of coke,pyroezra i know i wish she would i just wanna cuddl and sleeep in ga and go to the world of coke,0.4019,0.0,0.87,0.13
1957489791,happiness,@carocat Nooo  But hey you're back next week! Are you moving back for good?,carocat nooo but hey you re back next week are you move back for good,0.5927,0.0,0.784,0.216
1957490526,happiness,"@ykesha2001 yeah, I also had to do a paper.. I only have one more final left: algebra.. &amp; I take it on my birthday!!   (june 3)",ykesha yeah i also had to do a paper i onli have one more final left algebra amp i take it on my birthday june,0.296,0.0,0.901,0.099
1957496945,happiness,@_faeriequeen I just saw the Hamlet update too - excellent news... Never so good as live though,faeriequeen i just saw the hamlet updat too excel news never so good as live though,0.814,0.0,0.636,0.364
1957498577,happiness,I can't work twitter on my phone!  we're just in bed thinking of funny stuff from last night! (L) GOOD TIMES!,i can t work twitter on my phone we re just in bed think of funni stuff from last night l good time,0.4404,0.0,0.868,0.132
1957504506,happiness,@NMaize Lucky Rob... always gettin' the T8's from Emalon,nmaiz lucki rob alway gettin the t s from emalon,-0.5574,0.34,0.66,0.0
1957508406,happiness,Going back to Manila this evening. All my trips to Cebu are so bitin.,go back to manila thi even all my trip to cebu are so bitin,0.0,0.0,1.0,0.0
1957511342,happiness,@drewpeacock85 cool dude! yeah i was hoping your rate was still $2.75. lol! yeah not sure when ill mar and par for my birthday dinner.,drewpeacock cool dude yeah i wa hope your rate wa still lol yeah not sure when ill mar and par for my birthday dinner,0.895,0.06,0.489,0.451
1957516437,happiness,"Morning twitties! Heading to college, just back from the docs, god I'm hungry  streching my ears again today! 10mm ;) payday I love you!",morn twitti head to colleg just back from the doc god i m hungri strech my ear again today mm payday i love you,0.743,0.0,0.751,0.249
1957523762,happiness,I have been playing skate for two hours. Now i need to get out and actually skate. But it's too late,i have been play skate for two hour now i need to get out and actual skate but it s too late,0.1779,0.0,0.914,0.086
1957524669,happiness,"@mitch_400iso Me too, she was adorable and you could tell the pressure got to her.",mitch iso me too she wa ador and you could tell the pressur got to her,0.0,0.0,1.0,0.0
1957533813,happiness,@DaRealSunisaKim There's ding tai Fung here in Sydney aswell...  making me want dumplings...,darealsunisakim there s ding tai fung here in sydney aswel make me want dumpl,0.0772,0.0,0.902,0.098
1957553456,happiness,This is one of my all-time favorite episodes/quotes from The OfficeUS only   )  http://bit.ly/ARMJ,thi is one of my all time favorit episod quot from the officeu onli http bit ly armj,0.5574,0.0,0.825,0.175
1957557944,happiness,I chilled in my room with my baby book missed my bro leavin  he really is cool had a stripper shirt on said I suppoort single moms! Funny,i chill in my room with my babi book miss my bro leavin he realli is cool had a stripper shirt on said i suppoort singl mom funni,0.1779,0.059,0.855,0.086
1957562388,happiness,Sleep....take two....this better work!,sleep take two thi better work,0.4404,0.0,0.633,0.367
1957574844,happiness,@ACALLPRO -- yeahhh u wasnt thereeeeeeeeeee,acallpro yeahhh u wasnt thereeeeeeeeee,0.0,0.0,1.0,0.0
1957584973,happiness,@DeadMemoriesX Poor you   If I was with you right now; I would probably give you a hug ;D,deadmemoriesx poor you if i wa with you right now i would probabl give you a hug d,0.0,0.17,0.659,0.17
1957586924,happiness,"Wow what a sunny day,  just recovering some erased files",wow what a sunni day just recov some eras file,0.5859,0.0,0.678,0.322
1957591739,happiness,is wondering where all her friends went...,is wonder where all her friend went,0.4939,0.0,0.652,0.348
1957595567,happiness,@mangointhesky idk. The original is so great.,mangointheski idk the origin is so great,0.7042,0.12,0.43,0.45
1957595785,happiness,Finishing Homework.  BOOO,finish homework booo,0.0,0.0,1.0,0.0
1957596516,happiness,Football session after this.fun,footbal session after thi fun,0.5106,0.0,0.548,0.452
1957599143,happiness,job centre bound. oh yay.,job centr bound oh yay,0.5267,0.0,0.541,0.459
1957599931,happiness,"@hilsatlvsonline Thanks for the tip! Unfortunately a major crash in my https site, just as ExtPlorer",hilsatlvsonlin thank for the tip unfortun a major crash in my http site just as extplor,-0.0516,0.148,0.714,0.137
1957601055,happiness,@moneymakn1 Thats actually not that fun as you would think... I was hurting for a week after a similar experience.,moneymakn that actual not that fun as you would think i wa hurt for a week after a similar experi,-0.7271,0.289,0.711,0.0
1957609123,happiness,@shaundiviney 04182012154 send me one PLEASE!! I TXTD IN BUT I GOT A NEW PHONE,shaundiviney send me one pleas i txtd in but i got a new phone,0.0,0.0,1.0,0.0
1957612314,happiness,@MarkStanto why thx! #webdu I was only at the conf on Thurs,markstanto whi thx webdu i wa onli at the conf on thur,0.3612,0.0,0.8,0.2
1957612372,happiness,Aww I heard I just missed you two @logieo &amp; @egg104 !,aww i heard i just miss you two logieo amp egg,-0.1531,0.167,0.833,0.0
1957612378,happiness,writing report cards  soooo tired but what an amazing day. check it out on fb soon!,write report card soooo tire but what an amaz day check it out on fb soon,0.0,0.0,1.0,0.0
1957617858,happiness,"laughed so much today over that picture of lauren, that my chest hurts.",laugh so much today over that pictur of lauren that my chest hurt,0.0516,0.189,0.611,0.2
1957633015,happiness,Lobbying in twitter! Here too!!  Yuk! Gettin rid of groupies ;),lobbi in twitter here too yuk gettin rid of groupi,0.0,0.0,1.0,0.0
1957636980,happiness,@lisaxjbx3 Goodnight is not on the trending topics.  lol,lisaxjbx goodnight is not on the trend topic lol,0.4215,0.0,0.741,0.259
1957641646,happiness,Nevermind! Beyonce doesn't have a Twitter  Haha,nevermind beyonc doesn t have a twitter haha,0.4588,0.0,0.625,0.375
1957645950,happiness,@caldjr yeh me 2,caldjr yeh me,0.0,0.0,1.0,0.0
1957647768,happiness,"Just got Skyfire (http://get.skyfire.com/).  Firts impressions, it looks good but it's a little too memory hungry for my ageing HTC TyTN",just got skyfir http get skyfir com firt impress it look good but it s a littl too memori hungri for my age htc tytn,0.4404,0.0,0.843,0.157
1957664536,happiness,I hereby proclaim it to officially be summer as it is AWESOME today! But I'm stuck inside a chilly office,i herebi proclaim it to offici be summer as it is awesom today but i m stuck insid a chilli offic,-0.3612,0.135,0.865,0.0
1957666935,happiness,had the lovliest night last night but was ruined by doctors inability to warn me of side effects. back again for more tests.,had the lovliest night last night but wa ruin by doctor inabl to warn me of side effect back again for more test,-0.7783,0.245,0.755,0.0
1957672003,happiness,Bumping Air Supply's Greastest Hits,bump air suppli s greastest hit,0.0,0.0,1.0,0.0
1957673482,happiness,Will be flying to Ontario in 4 hours!Will probably stay awake.I will be there for a 8 days...Camping 4 the first time YAY!I am sleepy now,will be fli to ontario in hour will probabl stay awak i will be there for a day camp the first time yay i am sleepi now,0.5267,0.0,0.871,0.129
1957673692,happiness,is going back home  love ya Zagrebe &lt;3,is go back home love ya zagreb lt,0.6369,0.0,0.625,0.375
1957676144,happiness,staring at the sunshine through my office window!,stare at the sunshin through my offic window,0.0,0.0,1.0,0.0
1957684033,happiness,"Mooorning! It's Friday, and that's terrific! Smile up!    :-|      :-D",mooorn it s friday and that s terrif smile up d,0.3612,0.0,0.737,0.263
1957692927,happiness,sadly awake. wondering about contact info for all of the fun folks I hung out with at the shop. YAY 23b!!! Miss you guys,sadli awak wonder about contact info for all of the fun folk i hung out with at the shop yay b miss you guy,0.7269,0.059,0.696,0.245
1957693067,happiness,"@realchrissystar we'll be back sunday to play @ the horse, I was out last night at mex you were not  miss you",realchrissystar we ll be back sunday to play the hors i wa out last night at mex you were not miss you,0.4299,0.0,0.832,0.168
1957702153,happiness,@AlexaRPD Nice action shot: http://bit.ly/m8zfx  I miss working a pole.   __ dont you see clients everyday?  lol,alexarpd nice action shot http bit ly m zfx i miss work a pole dont you see client everyday lol,0.8225,0.067,0.546,0.387
1957706273,happiness,Good Morning Every1!!! Its gorgeous out again n im stuck in work  Wish i was at home chillin out.. Hopefully tha day goes quick  doh !!,good morn everi it gorgeou out again n im stuck in work wish i wa at home chillin out hope tha day goe quick doh,0.7579,0.068,0.644,0.288
1957709225,happiness,watched the Bones finale last night in the UK &amp; it rocked!! oh how much I missed Zack!!!  @EricMillegan is so freakin' awesome &lt;3,watch the bone final last night in the uk amp it rock oh how much i miss zack ericmillegan is so freakin awesom lt,-0.1531,0.068,0.932,0.0
1957709337,happiness,Someone bring me milk for my cookies!,someon bring me milk for my cooki,0.0,0.0,1.0,0.0
1957713846,happiness,"on later than normal this morning, got attacked by a swarm of mini fly's after opening the veranda last night took an hour to get rid!!",on later than normal thi morn got attack by a swarm of mini fli s after open the veranda last night took an hour to get rid,-0.4767,0.114,0.886,0.0
1957722183,happiness,"Looks like a beautiful day...and I am off work til Sunday, yay!! No bbq as yet though, gonna have to postpone my invitations",look like a beauti day and i am off work til sunday yay no bbq as yet though gonna have to postpon my invit,0.5719,0.081,0.701,0.218
1957732004,happiness,@primaveron I need them  It would've made my picture so much cooler. Mine are bottle green. Eeyea-thooo!,primaveron i need them it would ve made my pictur so much cooler mine are bottl green eeyea thooo,0.0,0.0,1.0,0.0
1957744379,happiness,@andyroddick At work at the mo and it's so sunny here today   Off to see a band tonight!!,andyroddick at work at the mo and it s so sunni here today off to see a band tonight,0.0,0.0,1.0,0.0
1957745855,happiness,Such a nice day...and we're all working,such a nice day and we re all work,0.4215,0.0,0.714,0.286
1957755023,happiness,good morning! off to the gym I go,good morn off to the gym i go,0.4404,0.0,0.674,0.326
1957764405,happiness,AH! so nice to be back on bike commute although three days off and my (what google sez are called) my quadriceps literally screaming. gah,ah so nice to be back on bike commut although three day off and my what googl sez are call my quadricep liter scream gah,0.101,0.094,0.799,0.107
1958033524,happiness,@iAmiAdam Hes away longer then me. Im only away for a few hours,iamiadam he away longer then me im onli away for a few hour,0.0,0.0,1.0,0.0
1958063663,happiness,@iPat143  hmm.. idk that song.,ipat hmm idk that song,-0.1027,0.259,0.741,0.0
1958071362,happiness,"Morning world, the sun seems to have gone away, maybe to Majorca or some other popular tourist spot. Hope it comes back soon",morn world the sun seem to have gone away mayb to majorca or some other popular tourist spot hope it come back soon,0.6908,0.0,0.787,0.213
1958076371,happiness,The Renegades last day was today and...well... he's gone... didn't catch him  Gutted... Closest he came to Greenock was Kilmacolm!,the renegad last day wa today and well he s gone didn t catch him gut closest he came to greenock wa kilmacolm,0.2732,0.0,0.905,0.095
1958085888,happiness,Well that was an interesting attempt at the commute to work... didn't exactly plan to end up where I did though...great,well that wa an interest attempt at the commut to work didn t exactli plan to end up where i did though great,0.8481,0.0,0.662,0.338
1958088999,happiness,@Jessums31 yup its working. they couldn't recover anything on it though,jessum yup it work they couldn t recov anyth on it though,0.0,0.0,1.0,0.0
1958092412,happiness,@trixie360 zombie wrangler sounds like fun. I don't have halo wars.,trixi zombi wrangler sound like fun i don t have halo war,0.2263,0.234,0.419,0.347
1958092481,happiness,Good morning from RSA Twitterverse!! Please send me some happy vibes &amp; cheerfulness today I'm feeling a little sad,good morn from rsa twittervers pleas send me some happi vibe amp cheer today i m feel a littl sad,0.4767,0.133,0.601,0.266
1958092752,happiness,"early morning~2:30 am~what's up? I am!~~!!played w/ my babies outside~wow~was in the 80's~felt great!~~got lonely, misses sissy and jess",earli morn am what s up i am play w my babi outsid wow wa in the s felt great got lone miss sissi and jess,0.8225,0.119,0.548,0.332
1958094911,happiness,@babyexpat commercial shoot in Tokyo. not much time to play there   quick and dirty,babyexpat commerci shoot in tokyo not much time to play there quick and dirti,0.0,0.143,0.714,0.143
1958096155,happiness,I soo wanna eat McDonalds Fries,i soo wanna eat mcdonald fri,0.0,0.0,1.0,0.0
1958104165,happiness,I am totally knackered and back in the meeting,i am total knacker and back in the meet,0.0,0.0,1.0,0.0
1958108546,happiness,I am hungry already. Not impressed! And everybody has gone to Rubys,i am hungri alreadi not impress and everybodi ha gone to rubi,-0.0015,0.174,0.652,0.174
1958119966,happiness,yay dad agreed to pay for my tuition and equipment! yipee not till nxt jan tho,yay dad agre to pay for my tuition and equip yipe not till nxt jan tho,0.4588,0.074,0.745,0.181
1958120577,happiness,got back from the embassy; missing one paper  go again on Monday!!!good luck me!!!,got back from the embassi miss one paper go again on monday good luck me,0.6486,0.082,0.615,0.303
1958122002,happiness,@mitchelmusso Heyyyyy us English fans want some signings too,mitchelmusso heyyyyy us english fan want some sign too,0.3818,0.0,0.66,0.34
1958123217,happiness,Finally gonna try and fall asleep goodnight.. More like morn... I sleeP,final gonna tri and fall asleep goodnight more like morn i sleep,0.4201,0.0,0.782,0.218
1958127181,happiness,"@tonibrockliss fyi, connie and carla is not as totally awesome as the previews make it seem  sorry about that one.",tonibrockliss fyi conni and carla is not as total awesom as the preview make it seem sorri about that one,0.2023,0.0,0.913,0.087
1960123126,happiness,"Now that I have a salary, I can actually spend money. Hooray! Time to go shopping and have dinner at Ahora to say goodbye to @yusufyusuf.",now that i have a salari i can actual spend money hooray time to go shop and have dinner at ahora to say goodby to yusufyusuf,0.5106,0.0,0.87,0.13
1960139893,happiness,"Finally, a beautiful, sunny day in Atlanta. Too bad I'm stuck inside working...",final a beauti sunni day in atlanta too bad i m stuck insid work,-0.6705,0.379,0.621,0.0
1960149051,happiness,@mselliott09 hahaha thanks for clearing up the,mselliott hahaha thank for clear up the,0.8271,0.0,0.315,0.685
1960149869,happiness,@TheMandyMoore good morning sunshine. sleepytown is sleepy.,themandymoor good morn sunshin sleepytown is sleepi,0.4404,0.0,0.674,0.326
1960149950,happiness,"getting ready for the day, out then work till close",get readi for the day out then work till close,0.0,0.0,1.0,0.0
1960152349,happiness,so happy its friday...not so happy about this rain,so happi it friday not so happi about thi rain,0.0,0.0,1.0,0.0
1960152622,happiness,"@i_dulay i swear it took me 2 hours to get from bel air to alabang.  but yes, i LOVED reminiscing about our HK trip with you &amp; @cdeocampo",i dulay i swear it took me hour to get from bel air to alabang but ye i love reminisc about our hk trip with you amp cdeocampo,0.7717,0.037,0.769,0.194
1960164777,happiness,Very lonely here in Gosforth gallery  but excited for meal at Six followed by Antony and the Johnsons tonight. Woohoo!!,veri lone here in gosforth galleri but excit for meal at six follow by antoni and the johnson tonight woohoo,0.5994,0.065,0.75,0.185
1960166730,happiness,On my way to the burial,on my way to the burial,0.0,0.0,1.0,0.0
1960168502,happiness,@pixls hahahahhahaha it was true! and i could really stretch out and stuff! shame rem's dog got mad when i tried to put him in avi's face,pixl hahahahhahaha it wa true and i could realli stretch out and stuff shame rem s dog got mad when i tri to put him in avi s face,-0.5423,0.203,0.707,0.09
1960191045,happiness,"Yay !!!! It's firday.... Have a good one everyone. On my way to work,    Lot's of work pending.",yay it s firday have a good one everyon on my way to work lot s of work pend,0.743,0.0,0.69,0.31
