id,sentiment,tweet,snowball_stemmed_tweets,preprocessed_tweets,sent_negative,sent_neutral,sent_positive,snowball_negative,snowball_neutral,snowball_pos
1956985535,happiness,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?",mentionher dude favorit sandwich place ever ummm take pictur,mentionhere dude favorite sandwich place ever ummm take pictures,0.0,0.727,0.273,0.0,1.0,0.0
1956985764,sadness,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?,mentionher ohh thursday exam day wednesday,mentionhere ohh thursday exams day wednesday ,0.0,1.0,0.0,0.0,1.0,0.0
1956986211,sadness,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.",mentionher mentionher think excit guy move realiz sad see go,mentionhere mentionhere thinking excited guys move realized sad see go,0.23,0.593,0.178,0.256,0.744,0.0
1956986767,sadness,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia,mentionher love itsakey usb stick 4gb australia,mentionhere love itsakey usb sticks 4gb australia,0.0,0.588,0.412,0.0,0.588,0.412
1956989514,sadness,@sweeetnspicy hiii im on my ipod...i cant fall asleep,mentionher hiii im ipodi cant fall asleep,mentionhere hiii im ipodi cant fall asleep,0.0,1.0,0.0,0.0,1.0,0.0
1956989526,sadness,dont wanna work 11-830 tomorrow  but i get paid,dont wan na work 11830 tomorrow get paid,dont wanna work 11830 tomorrow get paid,0.0,1.0,0.0,0.0,1.0,0.0
1956989560,sadness,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux,feel sad coz wasnt abl play guy urlher,feels sad coz wasnt able play guys urlhere,0.461,0.539,0.0,0.461,0.539,0.0
1956990568,sadness,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either,darn allergi dont like time year never use problem either,darn allergies dont like time year never used problem either,0.171,0.647,0.183,0.171,0.647,0.183
1956991673,sadness,@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,mentionher want come bz summer sure anymor teacher life summer suck,mentionhere wanted come bz summer  sure anymore teachers life summer sucks,0.176,0.563,0.261,0.195,0.47,0.336
1956992030,sadness,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!",wish knew put throughsh stole heart never gave backand occasion like like look,wish knew puts throughshe stole heart never gave backand occasionally likes like look,0.0,0.574,0.426,0.0,0.565,0.435
1956995196,sadness,@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!,mentionher earli happi day birth case dont make tire therapi today n take medicin misshu love ya,mentionhere early happy day birth case dont make tired therapy today n taking medicine misshu love ya,0.0,0.558,0.442,0.0,0.781,0.219
1956995762,sadness,Allergies suck ducks nuts.     &lt;=====8@8=====&gt;,allergi suck duck nut lt8mentionheregt,allergies suck ducks nuts lt8mentionheregt,0.634,0.366,0.0,0.42,0.58,0.0
1956996730,sadness,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54,wonder karma point turn 000 urlher,wonders karma points turned 000 urlhere,0.0,1.0,0.0,0.0,1.0,0.0
1956996765,happiness,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho.",need pack cali cali can not waittt think glass wine order celebr weekend vaca still work 2morrow tho,need pack cali cali cannot waittt thinking glass wine order celebrate weekend vaca still work 2morrow tho,0.0,0.812,0.188,0.0,1.0,0.0
1956996776,sadness,Is miserable  i feel like im gona cry  sux!,miser feel like im gona cri sux,miserable feel like im gona cry sux,0.615,0.21,0.175,0.449,0.339,0.212
1956998532,sadness,*sigh* I'm going to bed... I just don't feel right anymore...,sigh im go bed dont feel right anymor,sigh im going bed dont feel right anymore,0.0,0.864,0.136,0.0,0.864,0.136
1956998704,sadness,Now I am depressed after watching so you think you can dance,depress watch think danc,depressed watching think dance,0.524,0.476,0.0,0.516,0.484,0.0
1957000040,sadness,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh",cross caus im stuck twiddl thumb ugh,cross cause im stuck twiddling thumbs ugh,0.49,0.51,0.0,0.49,0.51,0.0
1957002082,sadness,"Last day working for the Uni today, sad times",last day work uni today sad time,last day working uni today sad times,0.341,0.659,0.0,0.341,0.659,0.0
1957005226,sadness,is still missing her husband.    I really want him home.,still miss husband realli want home,still missing husband really want home,0.282,0.513,0.204,0.232,0.58,0.188
1957005279,sadness,I miss my puppy,miss puppi,miss puppy,0.615,0.385,0.0,0.615,0.385,0.0
1957005713,sadness,@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones),mentionher ive given pizza kid would never let fav hot one,mentionhere ive given pizza  kids would never let fav hot ones,0.199,0.801,0.0,0.199,0.801,0.0
1957006033,sadness,@BarbSchaefer yearling in pet home died... very sad for their whole family,mentionher yearl pet home die sad whole famili,mentionhere yearling pet home died sad whole family,0.528,0.472,0.0,0.538,0.462,0.0
1957006245,sadness,"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong.",mentionher hate chang cours fan life lt3 oh havent met rob someth went horribl wrong,mentionhere hate change course fans life lt3 oh havent met rob something went horribly wrong,0.423,0.456,0.121,0.295,0.478,0.227
1957006547,sadness,well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.,well fuck new pain med odd warn actual appli cant take chan displeas,well fuck new pain med odd warning actually applies cant take chan displeased,0.5,0.304,0.196,0.51,0.388,0.102
1957006674,sadness,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad,upload new blog pain stori 80s year old man cri want die sad,uploaded new blog painful story 80s year old man cried wanted die sad,0.581,0.419,0.0,0.5,0.437,0.063
1957007633,sadness,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.,saw pic past thanksgiv sad grandma,saw pics past thanksgiving sad grandma,0.383,0.617,0.0,0.383,0.617,0.0
1957008075,sadness,Took a shift tomorrow.    I don't really feel like working right now.,took shift tomorrow dont realli feel like work right,took shift tomorrow dont really feel like working right,0.225,0.775,0.0,0.209,0.791,0.0
1957008193,sadness,but now i have no money for a phone,money phone,money phone,0.0,1.0,0.0,0.0,1.0,0.0
1957008498,sadness,Too bad the Red Devils.. disappointing to say the least,bad red devil disappoint say least,bad red devils disappointing say least,0.776,0.224,0.0,0.779,0.221,0.0
1957008802,sadness,"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz).",mentionher 3ware 9650se fast enough 3x x25m ssd raid5 800mhz iop hpt might tri adaptec 5405 12ghz,mentionhere 3ware 9650se fast enough 3x x25m ssd raid5 800mhz iop hpt might try adaptec 5405 12ghz,0.0,1.0,0.0,0.0,1.0,0.0
1957011291,sadness,@AlexanderGWhite daaammmnnnnn I do wish I was there.,mentionher daaammmnnnnn wish,mentionhere daaammmnnnnn wish,0.0,0.426,0.574,0.0,0.426,0.574
1957012476,sadness,@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner,mentionher play latter part voodoo villag part coop lost usual partner,mentionhere played latter parts voodoo village part coop lost usual partner,0.168,0.657,0.175,0.168,0.657,0.175
1957012769,sadness,is a bad friend,bad friend,bad friend,0.522,0.0,0.478,0.522,0.0,0.478
1957013885,sadness,"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby",mentionher internet last night er brill massiv explos end nearbi gas work er standbi,mentionhere internet last night er brill massive explosion end nearby gas works er standby,0.0,1.0,0.0,0.0,1.0,0.0
1957013896,sadness,@lenje - Still a pity it comes with no lamb though,mentionher still piti come lamb though,mentionhere  still pity comes lamb though,0.306,0.694,0.0,0.0,1.0,0.0
1957014267,sadness,@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.,mentionher im sorri hear optimist thing get better us,mentionhere im sorry hear optimist things get better us,0.096,0.441,0.463,0.0,0.526,0.474
1957016697,sadness,Had to cancel wow for now,cancel wow,cancel wow,0.345,0.0,0.655,0.345,0.0,0.655
1957017164,sadness,@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.,mentionher yeahim sad quotravenclawquot account love account bit,mentionhere yeahim sad quotravenclawquot account love account bits,0.233,0.451,0.316,0.233,0.451,0.316
1957017522,happiness,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs.",took math test today day test teacher say bring calcul luke confid teacher decid calc,took math test today day test teacher says bring calculator luke confident teacher decided calcs,0.0,0.814,0.186,0.0,1.0,0.0
1957017595,happiness,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go",omg concert awesom madrig gave chill almost everi piecebrook also call alumni didnt get go,omg concert awesome madrigals gave chills almost every piecebrooks also called alumni didnt get go,0.0,0.773,0.227,0.0,1.0,0.0
1957018061,sadness,Up late with nothin 2 do.....,late nothin 2,late nothin 2,0.0,1.0,0.0,0.0,1.0,0.0
1957019556,sadness,sometimes i wish things could go back to the way they were the beginning of last summer,sometim wish thing could go back way begin last summer,sometimes wish things could go back way beginning last summer,0.0,0.769,0.231,0.0,0.769,0.231
1957020180,sadness,"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes.",mentionher feel way guess matter alway meme,mentionhere feel way guess matter always memes,0.0,0.845,0.155,0.0,0.845,0.155
1957020385,happiness,"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more",cant 30 minut treadmil done 30 minut today alreadi gon na 20 minut,cant 30 minutes treadmill done 30 minutes today already gonna 20 minutes,0.0,1.0,0.0,0.0,1.0,0.0
1957020702,happiness,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks,chillin roomi cant wait zombi clwn cr gon na 68 week,chillin roomies cant wait zombie clwn cr gonna 68 weeks,0.0,1.0,0.0,0.0,1.0,0.0
1957021305,sadness,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL,cute malay girl came seemi room rent sad think guyfreind bit mislead disappoint lol,cute malay girl came seemy room rent  sadly think guyfreind bit misleading disappointing lol,0.37,0.383,0.247,0.269,0.463,0.269
1957025428,sadness,"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol",everytim send email coach feel need practic shitti ball lol,everytime send email coach feel need practice shitty balls lol,0.25,0.556,0.194,0.0,0.763,0.237
1957026475,sadness,It's pissing me off and not letting me follow ericka,piss let follow ericka,pissing letting follow ericka,0.474,0.526,0.0,0.474,0.526,0.0
1957027495,sadness,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....,go sleep peac want hear say good night didnt happen good night everyon,going sleep peaceful wanted hear say good night didnt happen good night everyone,0.0,0.526,0.474,0.0,0.585,0.415
1957027630,sadness,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.,mum tri make feel ebtter stop vote adn win shortstack almost cri,mums trying make feel ebtter stopping voting adn winning shortstack almost cried,0.24,0.552,0.208,0.138,0.625,0.237
1957028895,sadness,I haven't seen Muffin in two whole days!,havent seen muffin two whole day,havent seen muffin two whole days,0.0,1.0,0.0,0.0,1.0,0.0
1957029111,sadness,@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...,mentionher ill miss yall back give mentionher regard,mentionhere ill miss yall back give mentionhere regards,0.423,0.577,0.0,0.423,0.577,0.0
1957030545,sadness,Just found mj mouse flats at DJs. Of course there are none left in my size,found mj mous flat djs cours none left size,found mj mouse flats djs course none left size,0.0,1.0,0.0,0.0,1.0,0.0
1957032228,sadness,@xoshayzers i knoww  things won't be the samee &lt;/3,mentionher knoww thing wont same lt3,mentionhere knoww things wont samee lt3,0.0,1.0,0.0,0.0,1.0,0.0
1957033043,happiness,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me,mentionher kno doooo yall partyin,mentionhere kno doooo yall partyin,0.0,1.0,0.0,0.0,1.0,0.0
1957033776,sadness,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck,go sleep gon na fall asleep play app tmrw go suck,going sleep gonna fall asleep playing apps tmrw going suck,0.228,0.63,0.142,0.203,0.629,0.168
1957034202,sadness,I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu,cant believ metal gear solid song stolen im disappoint urlher,cant believe metal gear solid song stolen im disappointed urlhere,0.423,0.47,0.107,0.407,0.483,0.11
1957034566,sadness,@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...,mentionher wish left 4 dead first id need someth play,mentionhere wish left 4 dead first id need something play,0.279,0.39,0.331,0.279,0.39,0.331
1957035564,happiness,I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.,spill beer leg wast half beer home met cute girl good convers,spilled beer leg wasted half beer home met cute girl good conversation,0.177,0.497,0.326,0.0,0.629,0.371
1957038324,sadness,my teeth and head hurts,teeth head hurt,teeth head hurts,0.608,0.392,0.0,0.63,0.37,0.0
1957038398,sadness,I HATE rob zombie movies. &amp; the smell of weed. Vommmm.,hate rob zombi movi amp smell weed vommmm,hate rob zombie movies amp smell weed vommmm,0.549,0.451,0.0,0.549,0.451,0.0
1957039456,sadness,no more arrested development. i am sad.,arrest develop sad,arrested development sad,0.861,0.139,0.0,0.846,0.154,0.0
1957039894,sadness,omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D,omg keep lose follow sad want 90 one daythat goal,omg keep losing followers sad want 90 one daythats goal,0.407,0.5,0.093,0.411,0.496,0.092
1957039922,sadness,I feel so deflated. No more doggy.,feel deflat doggi,feel deflated doggy,0.0,1.0,0.0,0.0,1.0,0.0
1957040172,sadness,"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE.",empti trash mac one difficult thing ever done life 8000 pictur gone,empty trash mac one difficult things ever done life 8000 pictures gone,0.301,0.699,0.0,0.185,0.815,0.0
1957040395,sadness,im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much,im contact paw philippin find quottigerquot new owner im sad love dog soo much,im contacting paws philippines find quottigerquot new owner im sad love dog soo much,0.161,0.622,0.218,0.161,0.622,0.218
1957040988,sadness,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over,got home want read last chaper break dawn caus dont want,got home wanting read last chaper breaking dawn cause dont want,0.109,0.891,0.0,0.0,0.776,0.224
1957041745,sadness,Fuuudge. Movie store is closed,fuuudg movi store close,fuuudge movie store closed,0.0,1.0,0.0,0.0,1.0,0.0
1957041767,sadness,ALO is so sad and quiet and empty tonight,alo sad quiet empti tonight,alo sad quiet empty tonight,0.62,0.38,0.0,0.437,0.563,0.0
1957042316,sadness,@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie,mentionher aw head cancel trip aussi,mentionhere aw headed cancelled trip aussie,0.286,0.714,0.0,0.286,0.714,0.0
1957043226,sadness,Sad that Christian Lacroix had to file bankruptcy,sad christian lacroix file bankruptci,sad christian lacroix file bankruptcy,0.437,0.563,0.0,0.437,0.563,0.0
1957043241,sadness,I dont feel good AT ALL. fuckkk,dont feel good fuckkk,dont feel good fuckkk,0.445,0.555,0.0,0.445,0.555,0.0
1957045395,sadness,Have to go to the dreaded DMV tomorrow,go dread dmv tomorrow,go dreaded dmv tomorrow,0.552,0.448,0.0,0.5,0.5,0.0
1957045692,happiness,english class! working on interactive orals,english class work interact oral,english class working interactive orals,0.0,1.0,0.0,0.0,1.0,0.0
1957047571,sadness,Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.,taylor swift joe jona look realli good togeth im kinda sad broke,taylor swift joe jonas looked really good together im kinda sad broke,0.291,0.437,0.273,0.296,0.444,0.261
1957048027,sadness,God I just want to sleep.,god want sleep,god want sleep,0.0,0.227,0.773,0.0,0.227,0.773
1957049167,sadness,Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes,found book start real paperbound journal tonight annoy zit lip make look like herp,found book starting real paperbound journal tonight annoying zit lip makes look like herpes,0.157,0.698,0.145,0.167,0.69,0.144
1957050747,sadness,@RealBlackWidow But but I dun wanna,mentionher dun wan na,mentionhere dun wanna,0.0,1.0,0.0,0.0,1.0,0.0
1957050890,sadness,@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!,mentionher damn girl im ya got ta let know get kit togeth amp got flyer next weekend iquotm,mentionhere damn girl im ya gotta let know get kit together amp got flyer next weekend iquotm,0.144,0.856,0.0,0.137,0.863,0.0
1957051517,sadness,"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha",mentionher dbl booooooo sick flippin blow bahaha kno dont mani friend either feel lame haha,mentionhere dbl booooooo sick flippin blows  bahaha kno dont many friends either feel lame haha,0.382,0.486,0.132,0.384,0.484,0.132
1957052932,sadness,feels sick to my stomach and idkk whyy,feel sick stomach idkk whyy,feels sick stomach idkk whyy,0.452,0.548,0.0,0.452,0.548,0.0
1957053566,sadness,"@hello_jodie Um, I was thrown from @JareWolf's van yesterday and had to be taken to the ER",mentionher um thrown mentionher van yesterday taken er,mentionhere um thrown mentionheres van yesterday taken er,0.0,1.0,0.0,0.0,1.0,0.0
1957055981,happiness,FB is boring   and i wanna sing RIGHT NOW..! *-*,fb bore wan na sing right,fb boring wanna sing right ,0.365,0.635,0.0,0.286,0.714,0.0
1957056027,sadness,@judyrey  The link doesn't work,mentionher link doesnt work,mentionhere link doesnt work,0.0,1.0,0.0,0.0,1.0,0.0
1957058504,happiness,@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!,mentionher must new music wont sleep give us chapter 1 might die first though hurri,mentionhere must new music wont sleep give us chapter 1 might die first though hurry,0.231,0.769,0.0,0.231,0.769,0.0
1957059348,sadness,my stupid tooooth hurts,stupid tooooth hurt,stupid tooooth hurts,0.867,0.133,0.0,0.872,0.128,0.0
1957059917,sadness,@turnitgrey my computers broken and I broke my laptop so I had to use the phone  ahh still on he cause they fucked up my order.,mentionher comput broken broke laptop use phone ahh still caus fuck order,mentionhere computers broken broke laptop use phone ahh still cause fucked order,0.534,0.466,0.0,0.511,0.489,0.0
1957062827,sadness,I'm awake. Anybody else awake? Wish I lived in the US since all the fun happens when I'm asleep!,im awak anybodi els awak wish live us sinc fun happen im asleep,im awake anybody else awake wish lived us since fun happens im asleep,0.0,0.647,0.353,0.0,0.647,0.353
1957063845,sadness,@Penguin_J heehee. i love you! i am tired.,mentionher heehe love tire,mentionhere heehee love tired,0.319,0.22,0.462,0.0,0.417,0.583
1957064575,sadness,"Morning everyone sorry for going early last night had bad news, felt totally crap   Today is a new day",morn everyon sorri go earli last night bad news felt total crap today new day,morning everyone sorry going early last night bad news felt totally crap today new day,0.391,0.609,0.0,0.319,0.681,0.0
1957064908,sadness,"how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job...",wish parent put chines school younger itll much easier get job,wish parents put chinese school younger itll much easier get job,0.0,0.621,0.379,0.0,0.621,0.379
1957067988,sadness,@joiskol  being in your room makes me sad.,mentionher room make sad,mentionhere room makes sad,0.508,0.492,0.0,0.508,0.492,0.0
1957068880,sadness,@CocktailChic oh f*ck! I completely forgot about Thirsty Thursday! oh. my. gaga. this sucks,mentionher oh fck complet forgot thirsti thursday oh gaga suck,mentionhere oh fck completely forgot thirsty thursday oh gaga sucks,0.217,0.783,0.0,0.244,0.756,0.0
1957069453,sadness,"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  Shit!",one peopl wrong world blame peopl great world live shit,one people wrong world blames people great world living shit,0.482,0.308,0.21,0.474,0.312,0.214
1957070534,sadness,@meljachin: eww. dislike,mentionher eww dislik,mentionhere eww dislike,0.565,0.435,0.0,0.0,1.0,0.0
1957071331,sadness,"@SuzyDunkley sorry bout the cat,",mentionher sorri bout cat,mentionhere sorry bout cat,0.302,0.698,0.0,0.0,1.0,0.0
1957072896,sadness,missed iron chef,miss iron chef,missed iron chef,0.524,0.476,0.0,0.444,0.556,0.0
1957073073,sadness,@thevowel the DS version sucks,mentionher ds version suck,mentionhere ds version sucks,0.455,0.545,0.0,0.492,0.508,0.0
1957073201,sadness,what a bad day,bad day,bad day,0.778,0.222,0.0,0.778,0.222,0.0
1957075268,happiness,@PandaMayhem noooooooooooo i just look at a lot of pictures   lol lol,mentionher noooooooooooo look lot pictur lol lol,mentionhere noooooooooooo look lot pictures lol lol,0.0,0.472,0.528,0.0,0.472,0.528
1957076048,sadness,went to the cd store to search for the cd. But,went cd store search cd,went cd store search cd,0.0,1.0,0.0,0.0,1.0,0.0
1957076433,sadness,I miss my mom..  &quot;May angels lead you in&quot;,miss mom quotmay angel lead inquot,miss mom quotmay angels lead inquot,0.242,0.758,0.0,0.242,0.758,0.0
1957077552,sadness,@chocolovere i feel the same way every day,mentionher feel way everi day,mentionhere feel way every day,0.0,1.0,0.0,0.0,1.0,0.0
1957077564,sadness,Can't sleep. Sucks. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.,cant sleep suck one day sleep get go shop mom ugh,cant sleep sucks one day sleep get go shopping mom ugh,0.201,0.647,0.152,0.197,0.634,0.169
1957078157,sadness,Sleppytime. Really missing my godfather right now. Love you Wayne,sleppytim realli miss godfath right love wayn,sleppytime really missing godfather right love wayne,0.213,0.428,0.359,0.148,0.463,0.389
1957078740,sadness,So have a headache right now and it sucks,headach right suck,headache right sucks,0.556,0.444,0.0,0.592,0.408,0.0
1957079403,sadness,"@jwray12 Lakers, baby Lakers!! I'll miss the game tmwr. I have to work  you'll have to keep me posted please",mentionher laker babi laker ill miss game tmwr work youll keep post pleas,mentionhere lakers baby lakers ill miss game tmwr work youll keep posted please,0.263,0.599,0.138,0.286,0.714,0.0
1957079496,sadness,"comfort food of the day: pan mee. though, it didnt taste any good..",comfort food day pan mee though didnt tast good,comfort food day pan mee though didnt taste good,0.202,0.588,0.21,0.202,0.588,0.21
1957079568,sadness,misses my baby.,miss babi,misses baby,0.655,0.345,0.0,0.615,0.385,0.0
1957080579,sadness,I'm poorly and can't sleep,im poor cant sleep,im poorly cant sleep,0.0,1.0,0.0,0.508,0.492,0.0
1957082926,sadness,has work tom.,work tom,work tom,0.0,1.0,0.0,0.0,1.0,0.0
1957083616,sadness,today we say goodbye to the second good friend in a week from dmp  but at least the sun is shinning and I'm definately NOT working this pm,today say goodby second good friend week dmp least sun shin im defin work pm,today say goodbye second good friend week dmp least sun shinning im definately working pm,0.0,0.681,0.319,0.0,0.681,0.319
